14.659364149 15.7
25.648062143 28.9
36.802571502 19.6
47.754636437 37.8
58.704581091 21.8
69.962447294 21.3
81.741665535 20.3
92.646537332 47.6
103.75058639 25.5
114.904151169 23.5
126.345959371 24.6
137.501736757 21.5
148.546911197 36.2
159.631554274 27.2
170.743668252 22.4
182.045594392 17.8
193.100473811 35.7
203.946437384 23
214.815638685 23.6
225.555978654 38.5
236.652648712 23.7
247.541882712 28.5
258.272590965 22
269.083781789 26.5
279.916452545 26
290.562629686 25.1
301.514757443 30.9
312.415608065 24.5
323.212211909 20.5
333.993063883 11.1
344.862424796 25.5
355.942830321 31.2
366.665736125 21.9
377.158613523 27.7
387.936662918 30.3
398.690091516 27.5
409.556777204 32.4
420.31669351 28.3
431.427838292 23
442.269450321 28
452.87963947 43.7
463.4968503 46.6
474.338968472 21.4
485.096981622 13.7
495.798575514 35.3
506.648490912 33.4
517.471664358 3.5
528.235940322 49.3
538.988180117 21.4
549.919357167 24
561.038633545 53.8
571.785065718 3.7
582.556471785 47.9
593.282918622 3.4
603.983626157 56.1
614.742904054 3.5
625.50558196 66.2
636.062697363 3.6
646.685736079 23.5
659.881009424 25.3
670.710675508 3.8
681.161425747 77.3
692.039757767 3.7
702.795923013 26
713.691991429 54.7
724.200564016 3.5
735.096267921 6.7
747.509366731 63.5
758.38658379 3.8
769.217729619 15.4
779.985411457 92.71
792.102887283 3.9
802.841545191 4.1
813.455150066 55.8
824.50974135 31.3
835.265573772 4
846.133473499 4.2
857.353842279 91.3
868.227862919 25.6
878.937926295 4.2
889.47980166 4.1
900.428873387 79.5
911.709923988 45.6
922.439851587 4.2
933.235104118 4.1
944.021783374 12.4
955.224345889 95.3
966.064002308 4.2
976.883591852 4.3
987.467565712 4.1
998.159347031 9.5
1010.233555023 94.3
1021.072146855 45.2
1031.927657979 4.3
1042.34595472 4.3
1053.123175918 4.5
1063.650841127 21.7
1074.423637017 93.5
1085.228557348 59.5
1095.944851448 4.2
1106.570982188 4.5
1117.415132933 4.3
1128.247757936 5
1139.027945704 63.8
1152.906731265 89.7
1163.76542381 24.5
1174.467903896 5
1184.890462762 4.7
1195.927798847 4.6
1206.394831113 5
1217.326679557 14
1229.441357283 93.7
1241.463518925 89.5
1253.377761315 9.2
1264.498254428 4.3
1275.685286913 4.7
1286.606985531 4.5
1297.587279037 4.4
1308.229720306 5.1
1318.865731438 42.16
1333.62887788 93.1
1346.512510744 91.4
1359.020901345 5
1370.326606894 5
1381.222922896 5.1
1392.248634166 5.1
1402.921337193 5.1
1413.369121202 4.8
1424.118044138 5.1
1434.713723203 5.3
1445.566986124 68.7
1457.678115584 93.9
1468.400062122 91.3
1479.236450198 89.1
1492.77501283 7.8
1503.286209569 5
1513.871879052 5.5
1524.365909003 5.4
1535.240792515 5.4
1545.784165533 5.1
1556.517025012 5.2
1567.023242398 5.4
1577.621974433 4.9
1588.426150882 6.9
1599.093858536 92
1612.896746414 94.6
1623.518739097 95.5
1637.168537103 94.4
1647.903163262 61.4
1658.443908006 5.4
1669.190932631 5.7
1679.675002555 6.1
1690.385048074 5.3
1701.130597234 5.9
1711.585110252 5.5
1722.30121102 5.8
1733.022012517 6.3
1743.679282547 6.1
1754.177939513 5.4
1765.149656939 5.6
1776.165487094 5.6
1790.625013075 90.7
1805.282040475 91.1
1818.840838738 95.1
1830.404322978 88.9
1841.160420979 88.7
